vendor,productName,model,description,productURL,cost
troemner,Weight Set OIML 20kg-1g CLF2 Accrd TR,30390832,20kg-1g Certified Calibration Weight Set OIML Class F2 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-20kg-1g-CLF2-Accrd-TR/p/30390832,"$12,970.00"
troemner,Weight Set OIML 20kg-1g CLF2 No Cert TR,30390809,20kg-1g Calibration Weight Set OIML Class F2 without a Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-20kg-1g-CLF2-No-Cert-TR/p/30390809,"$11,150.00"
troemner,Weight Set OIML 20kg-1mg CLE1 Accrd TR,30390907,20kg-1mg Certified Calibration Weight Set OIML Class E1 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-20kg-1mg-CLE1-Accrd-TR/p/30390907,"$27,980.00"
troemner,Weight Set OIML 20kg-1mg CLE2 Accrd TR,80780404,20kg-1mg Certified Calibration Weight Set OIML Class E2 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-20kg-1mg-CLE2-Accrd-TR/p/80780404,"$16,510.00"
troemner,Weight Set OIML 20kg-1mg CLF1 Accrd TR,80780458,20kg-1mg Certified Calibration Weight Set OIML Class F1 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-20kg-1mg-CLF1-Accrd-TR/p/80780458,"$15,260.00"
troemner,Weight Set OIML 20kg-1mg CLF1 No Cert TR,80780431,20kg-1mg Calibration Weight Set OIML Class F1 without a Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-20kg-1mg-CLF1-No-Cert-TR/p/80780431,"$12,880.00"
troemner,Weight Set OIML 20kg-1mg CLF2 Accrd TR,30390833,20kg-1mg Certified Calibration Weight Set OIML Class F2 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-20kg-1mg-CLF2-Accrd-TR/p/30390833,"$13,840.00"
troemner,Weight Set OIML 20kg-1mg CLF2 No Cert TR,30390810,20kg-1mg Calibration Weight Set OIML Class F2 without a Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-20kg-1mg-CLF2-No-Cert-TR/p/30390810,"$11,460.00"
troemner,Weight Set OIML 2kg-1g CLE1 Accrd TR,30390913,2kg-1g Certified Calibration Weight Set OIML Class E1 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-2kg-1g-CLE1-Accrd-TR/p/30390913,"$9,795.00"
troemner,Weight Set OIML 2kg-1g CLE2 Accrd TR,80780398,2kg-1g Certified Calibration Weight Set OIML Class E2 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-2kg-1g-CLE2-Accrd-TR/p/80780398,"$5,595.00"
troemner,Weight Set OIML 2kg-1g CLF1 Accrd TR,80780452,2kg-1g Certified Calibration Weight Set OIML Class F1 with an Accredited Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-2kg-1g-CLF1-Accrd-TR/p/80780452,"$5,105.00"
troemner,Weight Set OIML 2kg-1g CLF1 No Cert TR,80780425,2kg-1g Calibration Weight Set OIML Class F1 without a Certificate,https://www.troemner.com/Calibration-Weights/Balance-Calibration-Weights/OIML-Calibration-Weight-Sets/Weight-Set-OIML-2kg-1g-CLF1-No-Cert-TR/p/80780425,"$3,915.00"
